파일,파일명,제목,날짜,연도,카테고리,태그,permalink,공개 상태,Template,layout,toc,toc_sticky,author_profile,sidebar 사용,share,comments,related,excerpt/description 있음,header 기능,H1,H2,H3,H4,목차 대상 heading,heading 단계 건너뜀,코드 블록,fenced 코드,언어 없는 fence,닫히지 않은 fence,최장 코드 줄,Markdown 이미지,HTML 이미지,전체 이미지,누락 로컬 이미지,누락 이미지 경로,고정 너비 이미지,Markdown 표,HTML 표,전체 표,최대 표 열,inline HTML,HTML 태그,고정 너비 HTML,복잡한 HTML/embed,front matter 오류,Markdown 분석 오류,참고 신호,호환성,판단 이유,권장 처리,진행 상태
_posts/java/basic/2026-08-06-categories-basic000.md,2026-08-06-categories-basic000.md,Template,2026-08-06,2026,Java 기본,java,/categories/java/basic/basic000,false,true,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,0,0,0,0,0,false,0,0,0,0,0,0,1,1,0,,true,0,0,0,0,true,img,false,,,,excerpt/description 없음; 고정 너비 이미지; 단순 inline HTML (img),🟢 바로 적용 후보,호환성 위험 요소 없음,사용자 결정: 전환 대상 제외,공개·전환 대상 제외
_posts/java/oop/2026-08-06-categories-oop000.md,2026-08-06-categories-oop000.md,Template,2026-08-06,2026,객체지향 프로그래밍,java,/categories/java/oop/oop000,false,true,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,0,0,0,0,0,false,0,0,0,0,0,0,1,1,0,,true,0,0,0,0,true,img,false,,,,excerpt/description 없음; 고정 너비 이미지; 단순 inline HTML (img),🟢 바로 적용 후보,호환성 위험 요소 없음,사용자 결정: 전환 대상 제외,공개·전환 대상 제외
_posts/sprint/sprint-advanced-project/2026-06-19-categories-sprint-advanced-project001.md,2026-06-19-categories-sprint-advanced-project001.md,[Sprint 백엔드 고급 프로젝트 1일차] 모두의 플리 프로젝트 시작,2026-06-19,2026,Sprint 백엔드 고급 프로젝트,Codeit Sprint | Codeit Sprint 백엔드 고급 프로젝트,/categories/codeit-sprint/sprint-advanced-project/sprint-advanced-project001,기본값,false,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,2,8,0,0,10,false,1,1,1,0,13,0,0,0,0,,false,0,0,0,0,false,,false,,,,excerpt/description 없음; H1 2개; 언어 없는 코드 fence 1개,🟢 바로 적용 후보,호환성 위험 요소 없음,GitHub Pages 배포 검증 완료 상태 유지,새 레이아웃 배포 검증 완료
_posts/sprint/sprint-advanced-project/2026-06-22-categories-sprint-advanced-project002.md,2026-06-22-categories-sprint-advanced-project002.md,[Sprint 백엔드 고급 프로젝트 2일차] 프로젝트 초기 설정과 GitHub Issue 작성,2026-06-22,2026,Sprint 백엔드 고급 프로젝트,Codeit Sprint | Codeit Sprint 백엔드 고급 프로젝트,/categories/codeit-sprint/sprint-advanced-project/sprint-advanced-project02,기본값,false,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,3,0,0,0,3,false,2,2,0,0,80,0,0,0,0,,false,0,0,0,0,false,,false,,,,excerpt/description 없음; H1 3개,🟢 바로 적용 후보,호환성 위험 요소 없음,GitHub Pages 배포 검증 완료 상태 유지,새 레이아웃 배포 검증 완료
_posts/sprint/sprint-advanced-project/2026-06-28-categories-sprint-advanced-project003.md,2026-06-28-categories-sprint-advanced-project003.md,[Sprint 백엔드 고급 프로젝트 1주차] 모두의 플리 1주차 회고,2026-06-28,2026,Sprint 백엔드 고급 프로젝트,Codeit Sprint | Codeit Sprint 백엔드 고급 프로젝트,/categories/codeit-sprint/sprint-advanced-project/sprint-advanced-project03,기본값,false,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,3,4,0,0,7,false,2,2,0,0,77,0,0,0,0,,false,0,0,0,0,false,,false,,,,excerpt/description 없음; H1 3개,🟢 바로 적용 후보,호환성 위험 요소 없음,GitHub Pages 배포 검증 완료 상태 유지,새 레이아웃 배포 검증 완료
_posts/sprint/sprint-advanced-project/2026-07-05-categories-sprint-advanced-project004.md,2026-07-05-categories-sprint-advanced-project004.md,[Sprint 백엔드 고급 프로젝트 2주차] 모두의 플리 2주차 회고,2026-07-05,2026,Sprint 백엔드 고급 프로젝트,Codeit Sprint | Codeit Sprint 백엔드 고급 프로젝트,/categories/codeit-sprint/sprint-advanced-project/sprint-advanced-project04,기본값,false,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,3,9,2,0,14,false,0,0,0,0,0,0,0,0,0,,false,0,0,0,0,false,,false,,,,excerpt/description 없음; H1 3개,🟢 바로 적용 후보,호환성 위험 요소 없음,GitHub Pages 배포 검증 완료 상태 유지,새 레이아웃 배포 검증 완료
_posts/sprint/sprint-advanced-project/2026-07-11-categories-sprint-advanced-project005.md,2026-07-11-categories-sprint-advanced-project005.md,[Sprint 백엔드 고급 프로젝트 3주차] 모두의 플리 3주차 회고,2026-07-11,2026,Sprint 백엔드 고급 프로젝트,Codeit Sprint | Codeit Sprint 백엔드 고급 프로젝트,/categories/codeit-sprint/sprint-advanced-project/sprint-advanced-project05,기본값,false,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,3,5,0,0,8,false,1,1,0,0,32,0,0,0,0,,false,0,0,0,0,false,,false,,,,excerpt/description 없음; H1 3개,🟢 바로 적용 후보,호환성 위험 요소 없음,GitHub Pages 배포 검증 완료 상태 유지,새 레이아웃 배포 검증 완료
_posts/sprint/sprint-advanced-project/2026-07-19-categories-sprint-advanced-project006.md,2026-07-19-categories-sprint-advanced-project006.md,[Sprint 백엔드 고급 프로젝트 4주차] 모두의 플리 4주차 회고,2026-07-19,2026,Sprint 백엔드 고급 프로젝트,Codeit Sprint | Codeit Sprint 백엔드 고급 프로젝트,/categories/codeit-sprint/sprint-advanced-project/sprint-advanced-project06,기본값,false,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,3,3,0,0,6,false,2,2,0,0,26,0,0,0,0,,false,0,0,0,0,false,,false,,,,excerpt/description 없음; H1 3개,🟢 바로 적용 후보,호환성 위험 요소 없음,GitHub Pages 배포 검증 완료 상태 유지,새 레이아웃 배포 검증 완료
_posts/sprint/sprint-advanced-project/2026-07-25-categories-sprint-advanced-project007-1.md,2026-07-25-categories-sprint-advanced-project007-1.md,[Sprint 백엔드 고급 프로젝트 5주차] 모두의 플리 5주차 회고(1) - 커스텀 메트릭,2026-07-25,2026,Sprint 백엔드 고급 프로젝트,Codeit Sprint | Codeit Sprint 백엔드 고급 프로젝트,/categories/codeit-sprint/sprint-advanced-project/sprint-advanced-project07-1,기본값,false,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,3,0,0,0,3,false,1,1,0,0,72,0,0,0,0,,false,0,0,0,0,false,,false,,,,excerpt/description 없음; H1 3개,🟢 바로 적용 후보,호환성 위험 요소 없음,GitHub Pages 배포 검증 완료 상태 유지,새 레이아웃 배포 검증 완료
_posts/sprint/sprint-advanced-project/2026-07-25-categories-sprint-advanced-project007-2.md,2026-07-25-categories-sprint-advanced-project007-2.md,[Sprint 백엔드 고급 프로젝트 5주차] 모두의 플리 5주차 회고(2) - Troubleshooting,2026-07-25,2026,Sprint 백엔드 고급 프로젝트,Codeit Sprint | Codeit Sprint 백엔드 고급 프로젝트,/categories/codeit-sprint/sprint-advanced-project/sprint-advanced-project07-2,기본값,false,single-editorial,true,true,기본값,false,기본값,기본값,기본값,false,false,3,1,0,0,4,false,1,1,0,0,33,0,0,0,0,,false,0,0,0,0,false,,false,,,,excerpt/description 없음; H1 3개,🟢 바로 적용 후보,호환성 위험 요소 없음,GitHub Pages 배포 검증 완료 상태 유지,새 레이아웃 배포 검증 완료
